Zone_ID,DATETIME,OPEN,HIGH,LOW,CLOSE,Zone_Type,MA_10,Crossover_Trigger,Retest_Performance,Crossover_Trigger,Retest_Performance,"Distance-to-SMA""",Reversal pattern,Direction of Closed Price,
1,12/3/2025 20:00,206.971,207.029,206.944,206.983,Resistance,206.9061, ,No Retest,2 BEARISH CROSS,4 Resistance Retested,Above MA10,?? Shooting Star,,
1,12/3/2025 20:00,206.983,207.007,206.907,206.985,Resistance,206.9133,No Cross,No Retest,,,Above MA10,?? Shooting Star,Upwards,Decreasing
1,12/3/2025 20:00,206.986,207.131,206.978,207.112,Resistance,206.9272,No Cross,No Retest,,,Above MA10,?? Bearish Harami,Upwards,Increasing
1,12/3/2025 20:00,207.111,207.118,207.032,207.052,Resistance,206.9517,No Cross,No Retest,,,Above MA10,?? Shooting Star,Downwards,Decreasing
1,12/3/2025 21:00,207.05,207.073,207.019,207.052,Resistance,206.9812,No Cross,No Retest,,,Above MA10,?? Shooting Star,Neutral,Decreasing
1,12/3/2025 21:00,207.053,207.081,207.033,207.065,Resistance,207.0017,No Cross,No Retest,,,Above MA10,?? Shooting Star,Upwards,Increasing
1,12/3/2025 21:00,207.066,207.103,207.048,207.094,Resistance,207.0243,No Cross,No Retest,,,Above MA10,?? Shooting Star,Upwards,Increasing
1,12/3/2025 21:00,207.093,207.137,207.067,207.13,Resistance,207.0408,No Cross,No Retest,,,Above MA10,?? Shooting Star,Upwards,Increasing
1,12/3/2025 22:00,207.129,207.161,207.093,207.146,Resistance,207.0588,No Cross,No Retest,,,Above MA10,?? Shooting Star,Upwards,Decreasing
1,12/3/2025 22:00,207.144,207.162,207.109,207.154,Resistance,207.0773,No Cross,No Retest,,,Above MA10,?? Shooting Star,Upwards,Decreasing
1,12/3/2025 22:00,207.155,207.209,207.145,207.209,Resistance,207.0999,No Cross,No Retest,,,Above MA10,?? Bearish Harami,Upwards,Increasing
1,12/3/2025 22:00,207.208,207.244,207.173,207.196,Resistance,207.121,No Cross,No Retest,,,Above MA10,?? Shooting Star,Downwards,Decreasing
1,12/3/2025 23:00,207.197,207.321,207.195,207.292,Resistance,207.139,No Cross,No Retest,,,Above MA10,?? Bearish Harami,Upwards,Increasing
1,12/3/2025 23:00,207.29,207.29,207.233,207.273,Resistance,207.1611,No Cross,No Retest,,,Above MA10,?? Shooting Star,Downwards,Decreasing
1,12/3/2025 23:00,207.271,207.331,207.223,207.238,Resistance,207.1797,No Cross,No Retest,,,Above MA10,?? Shooting Star,Downwards,Increasing
1,12/3/2025 23:00,207.237,207.288,207.216,207.232,Resistance,207.1964,No Cross,No Retest,,,Above MA10,?? Shooting Star,Downwards,Decreasing
1,12/4/2025 0:00,207.224,207.224,207.082,207.141,Resistance,207.2011,?? BEARISH CROSS,? Resistance Retested,,,Below MA10,?? Shooting Star,Downwards,Increasing
1,12/4/2025 0:00,207.141,207.169,207.132,207.145,Resistance,207.2026,No Cross,No Retest,,,Below MA10,?? Shooting Star,Upwards,Decreasing
1,12/4/2025 0:00,207.092,207.154,207.09,207.146,Resistance,207.2026,No Cross,No Retest,,,Below MA10,?? Bearish Harami,Upwards,Increasing
1,12/4/2025 0:00,207.146,207.179,207.084,207.105,Resistance,207.1977,No Cross,No Retest,,,Below MA10,?? Shooting Star,Downwards,Decreasing
1,12/4/2025 1:00,207.136,207.217,207.092,207.211,Resistance,207.1979,No Cross,No Retest,,,Above MA10,?? Bearish Harami,Upwards,Increasing
1,12/4/2025 1:00,207.21,207.242,207.171,207.176,Resistance,207.1959,?? BEARISH CROSS,? Resistance Retested,,,Below MA10,?? Shooting Star,Downwards,Decreasing
1,12/4/2025 1:00,207.178,207.188,207.043,207.079,Resistance,207.1746,No Cross,? Resistance Retested,,,Below MA10,?? Shooting Star,Downwards,Increasing
1,12/4/2025 1:00,207.079,207.086,206.962,207.025,Resistance,207.1498,No Cross,No Retest,,,Below MA10,?? Shooting Star,Downwards,Decreasing
1,12/4/2025 2:00,207.024,207.025,206.872,206.99,Resistance,207.125,No Cross,No Retest,,,Below MA10,?? Shooting Star,Downwards,Decreasing
1,12/4/2025 2:00,206.989,207.073,206.95,207.072,Resistance,207.109,No Cross,No Retest,,,Below MA10,?? Bearish Harami,Upwards,Increasing
1,12/4/2025 2:00,207.072,207.081,206.987,207.055,Resistance,207.1004,No Cross,No Retest,,,Below MA10,?? Shooting Star,Downwards,Decreasing
1,12/4/2025 2:00,207.052,207.091,206.913,206.921,Resistance,207.078,No Cross,? Resistance Retested,,,Below MA10,Normal,Downwards,Increasing
1,12/4/2025 3:00,206.921,207.039,206.895,207.007,Resistance,207.0641,No Cross,No Retest,,,Below MA10,?? Shooting Star,Upwards,Decreasing
1,12/4/2025 3:00,207.007,207.164,206.983,207.157,Resistance,207.0693,No Cross,No Retest,,,Above MA10,?? Bearish Harami,Upwards,Increasing
1,12/4/2025 3:00,207.156,207.239,207.131,207.152,Resistance,207.0634,No Cross,No Retest,,,Above MA10,?? Shooting Star,Downwards,Decreasing
1,12/4/2025 3:00,207.152,207.166,207.084,207.113,Resistance,207.0571,No Cross,No Retest,,,Above MA10,?? Shooting Star,Downwards,Increasing
2,12/5/2025 4:00,206.676,206.71,206.659,206.692,Support,206.6694, ,? Support Retested,1 BULLISH CROSS,8 Support Retested,Above MA10,?? Hammer,,
2,12/5/2025 4:00,206.691,206.758,206.674,206.749,Support,206.6786,No Cross,? Support Retested,,,Above MA10,?? Hammer,Upwards,Increasing
2,12/5/2025 4:00,206.75,206.761,206.689,206.729,Support,206.6759,No Cross,No Retest,,,Above MA10,?? Hammer,Downwards,Decreasing
2,12/5/2025 4:00,206.729,206.75,206.689,206.707,Support,206.6775,No Cross,No Retest,,,Above MA10,?? Hammer,Downwards,Increasing
2,12/5/2025 5:00,206.707,206.711,206.668,206.689,Support,206.6745,No Cross,? Support Retested,,,Above MA10,?? Hammer,Downwards,Decreasing
2,12/5/2025 5:00,206.693,206.753,206.691,206.737,Support,206.6913,No Cross,? Support Retested,,,Above MA10,?? Hammer,Upwards,Increasing
2,12/5/2025 5:00,206.737,206.767,206.694,206.721,Support,206.7049,No Cross,? Support Retested,,,Above MA10,?? Hammer,Downwards,Decreasing
2,12/5/2025 5:00,206.72,206.776,206.708,206.72,Support,206.7089,No Cross,? Support Retested,,,Above MA10,?? Hammer,Downwards,Decreasing
2,12/5/2025 6:00,206.722,206.753,206.69,206.718,Support,206.7138,No Cross,? Support Retested,,,Above MA10,?? Hammer,Downwards,Increasing
2,12/5/2025 6:00,206.719,206.738,206.435,206.567,Support,206.7029,No Cross,No Retest,,,Below MA10,?? Bullish Harami,Downwards,Increasing
2,12/5/2025 6:00,206.567,206.688,206.531,206.625,Support,206.6962,No Cross,No Retest,,,Below MA10,?? Hammer,Upwards,Decreasing
2,12/5/2025 6:00,206.624,206.633,206.548,206.596,Support,206.6809,No Cross,No Retest,,,Below MA10,?? Hammer,Downwards,Decreasing
2,12/5/2025 7:00,206.598,206.602,206.513,206.556,Support,206.6636,No Cross,No Retest,,,Below MA10,Normal,Downwards,Increasing
2,12/5/2025 7:00,206.556,206.576,206.397,206.413,Support,206.6342,No Cross,No Retest,,,Below MA10,?? Hammer,Downwards,Increasing
2,12/5/2025 7:00,206.413,206.414,206.226,206.341,Support,206.5994,No Cross,No Retest,,,Below MA10,Normal,Downwards,Decreasing
2,12/5/2025 7:00,206.339,206.344,206.226,206.306,Support,206.5563,No Cross,No Retest,,,Below MA10,?? Bullish Engulfing,Downwards,Decreasing
