Datetimetry,Date,Time,Open,High,Low,Close,Volume,MA_10
2024.02.13 12,2024.02.13,12:00:00,189.219,189.312,189.152,189.29,2504,189.00
2024.02.13 13,2024.02.13,13:00:00,189.292,189.55,188.9,189.43,5625,189.09
2024.02.13 14,2024.02.13,14:00:00,189.428,189.605,189.287,189.507,4300,189.18
2024.02.13 15,2024.02.13,15:00:00,189.503,189.768,189.345,189.752,3618,189.29
2024.02.13 16,2024.02.13,16:00:00,189.748,189.997,189.675,189.949,2868,189.42
2024.02.13 17,2024.02.13,17:00:00,189.95,190.073,189.906,189.97,2235,189.49
2024.02.13 18,2024.02.13,18:00:00,189.971,190.003,189.791,189.815,2132,189.56
2024.02.13 19,2024.02.13,19:00:00,189.814,189.868,189.687,189.704,2235,189.60
2024.02.13 20,2024.02.13,20:00:00,189.7,189.823,189.694,189.799,2250,189.64
2024.02.13 21,2024.02.13,21:00:00,189.798,189.89,189.781,189.835,1484,189.71
2024.02.13 22,2024.02.13,22:00:00,189.825,189.84,189.539,189.573,1194,189.73
2024.02.13 23,2024.02.13,23:00:00,189.538,189.764,189.505,189.696,1853,189.76
2024.02.14 00,2024.02.14,0:00:00,189.754,189.791,189.654,189.67,2689,189.78
2024.02.14 01,2024.02.14,1:00:00,189.668,189.671,189.497,189.63,2655,189.76
2024.02.14 02,2024.02.14,2:00:00,189.634,189.724,189.603,189.709,1999,189.74
2024.02.14 03,2024.02.14,3:00:00,189.706,189.706,189.593,189.636,1785,189.71
2024.02.14 04,2024.02.14,4:00:00,189.633,189.661,189.542,189.615,1640,189.69
2024.02.14 05,2024.02.14,5:00:00,189.617,189.7,189.566,189.686,1765,189.68
2024.02.14 06,2024.02.14,6:00:00,189.681,189.823,189.603,189.667,1908,189.67
2024.02.14 07,2024.02.14,7:00:00,189.673,189.687,188.913,189.018,3907,189.59
2024.02.14 08,2024.02.14,8:00:00,189.022,189.057,188.804,189.026,3273,189.54
2024.02.14 09,2024.02.14,9:00:00,189.025,189.081,188.743,188.884,2813,189.45
2024.02.14 10,2024.02.14,10:00:00,188.889,188.993,188.839,188.952,2462,189.38
2024.02.14 11,2024.02.14,11:00:00,188.954,189.048,188.837,189.005,2520,189.32
