Date,Time,Open,High,Low,Close,Volume
2022.04.01,0:00:00,159.759,159.993,159.747,159.843,365
2022.04.01,1:00:00,159.843,160.079,159.843,160.05,3417
2022.04.01,2:00:00,160.057,160.201,160.026,160.03,2590
2022.04.01,3:00:00,160.028,160.526,160.003,160.417,5540
2022.04.01,4:00:00,160.418,160.741,160.365,160.683,6114
2022.04.01,5:00:00,160.682,161.012,160.603,160.972,5486
2022.04.01,6:00:00,160.973,161.176,160.878,161.057,3934
2022.04.01,7:00:00,161.057,161.059,160.775,160.974,3514
2022.04.01,8:00:00,160.976,161.047,160.719,160.736,3241
2022.04.01,9:00:00,160.731,160.757,160.464,160.712,5204
2022.04.01,10:00:00,160.709,160.955,160.59,160.924,6646
2022.04.01,11:00:00,160.924,161.043,160.734,160.91,5996
2022.04.01,12:00:00,160.91,160.91,160.621,160.749,5828
2022.04.01,13:00:00,160.749,160.917,160.707,160.888,4458
2022.04.01,14:00:00,160.888,160.947,160.752,160.782,4573
2022.04.01,15:00:00,160.783,161.07,160.727,161.007,7440
2022.04.01,16:00:00,161.009,161.083,160.787,160.993,7688
2022.04.01,17:00:00,160.987,161.123,160.809,161.003,7588
2022.04.01,18:00:00,161.008,161.088,160.672,160.751,5827
2022.04.01,19:00:00,160.75,160.802,160.571,160.617,3865
2022.04.01,20:00:00,160.617,160.626,160.378,160.507,3594
2022.04.01,21:00:00,160.506,160.746,160.491,160.698,2801
2022.04.01,22:00:00,160.697,160.733,160.508,160.685,3290
2022.04.01,23:00:00,160.679,160.718,160.572,160.676,1118
2022.04.04,0:00:00,160.546,160.713,160.501,160.598,230
2022.04.04,1:00:00,160.591,160.826,160.568,160.717,2557
2022.04.04,2:00:00,160.724,160.748,160.609,160.697,1573
2022.04.04,3:00:00,160.695,160.707,160.276,160.489,6534
2022.04.04,4:00:00,160.491,160.748,160.467,160.722,6596
2022.04.04,5:00:00,160.721,160.879,160.687,160.843,4204
2022.04.04,6:00:00,160.842,161.015,160.786,160.966,2581
2022.04.04,7:00:00,160.968,161.014,160.766,160.81,3025
2022.04.04,8:00:00,160.81,161.059,160.762,161.03,3553
2022.04.04,9:00:00,161.029,161.165,160.967,160.988,4750
2022.04.04,10:00:00,160.984,161.059,160.835,161.005,5683
2022.04.04,11:00:00,161.006,161.009,160.736,160.817,5769
2022.04.04,12:00:00,160.814,160.908,160.762,160.779,4573
2022.04.04,13:00:00,160.776,160.907,160.749,160.8,4379
2022.04.04,14:00:00,160.801,160.887,160.752,160.794,4724
2022.04.04,15:00:00,160.797,161.057,160.713,160.73,5219
2022.04.04,16:00:00,160.73,161.026,160.715,161.011,6227
2022.04.04,17:00:00,161.014,161.296,160.952,160.961,7151
2022.04.04,18:00:00,160.956,161.045,160.886,160.95,5437
2022.04.04,19:00:00,160.948,160.975,160.818,160.832,4336
2022.04.04,20:00:00,160.832,160.862,160.738,160.843,3593
2022.04.04,21:00:00,160.843,161.083,160.799,161.052,3341
2022.04.04,22:00:00,161.052,161.084,160.976,160.996,2708
2022.04.04,23:00:00,160.992,161.013,160.92,160.94,1230
2022.04.05,0:00:00,160.969,161.046,160.919,161.013,170
2022.04.05,1:00:00,160.974,161.018,160.92,160.938,1306
2022.04.05,2:00:00,160.947,161.046,160.947,161.016,2058
2022.04.05,3:00:00,161.011,161.078,160.497,160.684,4748
2022.04.05,4:00:00,160.684,160.838,160.601,160.741,4097
2022.04.05,5:00:00,160.743,160.81,160.695,160.752,2538
2022.04.05,6:00:00,160.751,160.755,160.637,160.66,2525
2022.04.05,7:00:00,160.66,160.894,160.597,160.776,3955
2022.04.05,8:00:00,160.775,160.834,160.724,160.83,3437
2022.04.05,9:00:00,160.828,161.032,160.782,161.013,4520
2022.04.05,10:00:00,161.009,161.494,160.998,161.318,7095
2022.04.05,11:00:00,161.318,161.412,161.091,161.14,5618
2022.04.05,12:00:00,161.139,161.401,161.082,161.4,4652
2022.04.05,13:00:00,161.4,161.462,161.268,161.301,5263
2022.04.05,14:00:00,161.303,161.46,161.257,161.452,4064
2022.04.05,15:00:00,161.452,161.489,161.217,161.347,5062
