Zone_ID,Datetimetry,Datetime,Open,High,Low,Close,Volume,MA_10
1,2024-02-13 12,2/13/2024 12:00,189.219,189.239,189.152,189.223,624,189.3033
1,2024-02-13 12,2/13/2024 12:15,189.219,189.26,189.2,189.245,652,189.3007
1,2024-02-13 12,2/13/2024 12:30,189.242,189.288,189.223,189.248,655,189.2957
1,2024-02-13 12,2/13/2024 12:45,189.247,189.312,189.233,189.29,573,189.2899
1,2024-02-13 13,2/13/2024 13:00,189.292,189.394,189.272,189.338,633,189.2882
1,2024-02-13 13,2/13/2024 13:15,189.339,189.345,189.255,189.3,729,189.2777
1,2024-02-13 13,2/13/2024 13:30,189.302,189.411,188.9,189.353,3047,189.2782
1,2024-02-13 13,2/13/2024 13:45,189.349,189.55,189.335,189.43,1216,189.2861
2,2024-02-13 19,2/13/2024 19:00,189.814,189.814,189.687,189.703,567,189.9024
2,2024-02-13 19,2/13/2024 19:15,189.705,189.807,189.697,189.798,571,189.8873
2,2024-02-13 19,2/13/2024 19:30,189.799,189.868,189.78,189.804,518,189.8691
2,2024-02-13 19,2/13/2024 19:45,189.803,189.803,189.698,189.704,579,189.8422
2,2024-02-13 20,2/13/2024 20:00,189.7,189.8,189.694,189.786,580,189.8186
2,2024-02-13 20,2/13/2024 20:15,189.785,189.819,189.714,189.716,543,189.7932
2,2024-02-13 20,2/13/2024 20:30,189.721,189.818,189.713,189.813,519,189.7845
2,2024-02-13 20,2/13/2024 20:45,189.808,189.823,189.741,189.799,608,189.7779
3,2024-02-14 01,2/14/2024 1:00,189.668,189.671,189.547,189.549,742,189.6561
3,2024-02-14 01,2/14/2024 1:15,189.548,189.638,189.508,189.609,670,189.6597
3,2024-02-14 01,2/14/2024 1:30,189.608,189.626,189.497,189.581,648,189.6609
3,2024-02-14 01,2/14/2024 1:45,189.58,189.666,189.561,189.63,595,189.6601
3,2024-02-14 02,2/14/2024 2:00,189.634,189.673,189.629,189.636,544,189.6576
3,2024-02-14 02,2/14/2024 2:15,189.639,189.669,189.603,189.653,484,189.6533
3,2024-02-14 02,2/14/2024 2:30,189.649,189.678,189.624,189.647,466,189.6439
3,2024-02-14 02,2/14/2024 2:45,189.648,189.724,189.646,189.709,505,189.642
4,2024-02-14 04,2/14/2024 4:00,189.633,189.661,189.542,189.546,439,189.6378
4,2024-02-14 04,2/14/2024 4:15,189.548,189.61,189.548,189.58,440,189.6328
4,2024-02-14 04,2/14/2024 4:30,189.575,189.597,189.557,189.571,372,189.6263
4,2024-02-14 04,2/14/2024 4:45,189.572,189.619,189.57,189.615,389,189.6225
4,2024-02-14 05,2/14/2024 5:00,189.617,189.679,189.566,189.601,480,189.6179
4,2024-02-14 05,2/14/2024 5:15,189.602,189.677,189.602,189.668,414,189.6138
4,2024-02-14 05,2/14/2024 5:30,189.667,189.677,189.59,189.64,417,189.6149
4,2024-02-14 05,2/14/2024 5:45,189.642,189.7,189.609,189.686,454,189.6205
5,2024-02-14 09,2/14/2024 9:00,189.025,189.081,188.982,188.994,741,189.0518
5,2024-02-14 09,2/14/2024 9:15,188.99,189.027,188.879,188.908,725,188.9759
5,2024-02-14 09,2/14/2024 9:30,188.905,188.961,188.777,188.788,682,188.9488
5,2024-02-14 09,2/14/2024 9:45,188.791,188.897,188.743,188.884,665,188.9305
5,2024-02-14 10,2/14/2024 10:00,188.889,188.953,188.848,188.932,623,188.9212
5,2024-02-14 10,2/14/2024 10:15,188.934,188.993,188.913,188.954,565,188.9148
5,2024-02-14 10,2/14/2024 10:30,188.953,188.953,188.839,188.904,629,188.9197
5,2024-02-14 10,2/14/2024 10:45,188.899,188.99,188.862,188.952,645,188.9233
6,2024-02-14 15,2/14/2024 15:00,189.118,189.153,189.047,189.116,858,189.1359
6,2024-02-14 15,2/14/2024 15:15,189.12,189.128,188.97,189.016,762,189.1333
6,2024-02-14 15,2/14/2024 15:30,189.02,189.053,188.896,188.928,707,189.1113
6,2024-02-14 15,2/14/2024 15:45,188.932,189.022,188.855,189.003,791,189.0936
6,2024-02-14 16,2/14/2024 16:00,189.002,189.034,188.872,188.935,827,189.0645
6,2024-02-14 16,2/14/2024 16:15,188.939,189.02,188.932,188.941,704,189.0342
6,2024-02-14 16,2/14/2024 16:30,188.942,189.002,188.915,188.965,700,189.0157
6,2024-02-14 16,2/14/2024 16:45,188.966,189.041,188.938,189.014,694,189.0095
