Zone_ID,Datetimetry,Datetime,Open,High,Low,Close,Volume,MA_10
RESISTANCE_211,2024-02-13 17,2024-02-13 17:00:00,189.95,190.073,189.906,189.97,2235,189.4937
RESISTANCE_211,2024-02-13 18,2024-02-13 18:00:00,189.971,190.003,189.791,189.815,2132,189.5612
RESISTANCE_212,2024-02-13 21,2024-02-13 21:00:00,189.798,189.89,189.781,189.835,1484,189.7051
RESISTANCE_212,2024-02-13 22,2024-02-13 22:00:00,189.825,189.84,189.539,189.573,1194,189.7334
RESISTANCE_213,2024-02-14 05,2024-02-14 05:00:00,189.617,189.7,189.566,189.686,1765,189.6849
RESISTANCE_213,2024-02-14 06,2024-02-14 06:00:00,189.681,189.823,189.603,189.667,1908,189.6717
RESISTANCE_214,2024-02-14 13,2024-02-14 13:00:00,189.041,189.296,189.04,189.244,3080,189.2139
RESISTANCE_214,2024-02-14 14,2024-02-14 14:00:00,189.247,189.265,189.025,189.116,3173,189.164
RESISTANCE_215,2024-02-14 20,2024-02-14 20:00:00,189.104,189.165,189.032,189.148,2154,189.0718
RESISTANCE_215,2024-02-14 21,2024-02-14 21:00:00,189.161,189.221,188.971,189.052,1369,189.0765
RESISTANCE_216,2024-02-14 23,2024-02-14 23:00:00,189.015,189.152,188.934,189.152,1677,189.0698
RESISTANCE_216,2024-02-15 00,2024-02-15 00:00:00,189.204,189.204,188.88,188.9,2427,189.0482
RESISTANCE_217,2024-02-15 10,2024-02-15 10:00:00,188.336,188.485,188.26,188.396,2288,188.5745
RESISTANCE_217,2024-02-15 11,2024-02-15 11:00:00,188.398,188.424,188.203,188.326,1998,188.5387
RESISTANCE_218,2024-02-15 16,2024-02-15 16:00:00,188.809,188.989,188.809,188.895,3016,188.4756
RESISTANCE_218,2024-02-15 17,2024-02-15 17:00:00,188.894,188.965,188.857,188.899,2293,188.5226
RESISTANCE_219,2024-02-15 19,2024-02-15 19:00:00,188.783,188.9,188.781,188.874,1945,188.6226
RESISTANCE_219,2024-02-15 20,2024-02-15 20:00:00,188.878,188.959,188.859,188.859,1914,188.6689
RESISTANCE_220,2024-02-16 02,2024-02-16 02:00:00,188.892,189.115,188.88,189.105,2000,188.8934
RESISTANCE_220,2024-02-16 03,2024-02-16 03:00:00,189.103,189.145,188.996,189.099,1735,188.9134
RESISTANCE_221,2024-02-16 07,2024-02-16 07:00:00,188.983,189.338,188.98,189.134,3070,188.9858
RESISTANCE_221,2024-02-16 08,2024-02-16 08:00:00,189.131,189.211,188.904,188.944,2820,188.995
RESISTANCE_222,2024-02-16 11,2024-02-16 11:00:00,189.153,189.244,189.101,189.203,2174,189.0752
RESISTANCE_222,2024-02-16 12,2024-02-16 12:00:00,189.201,189.233,189.076,189.098,2357,189.0745
RESISTANCE_223,2024-02-16 18,2024-02-16 18:00:00,189.383,189.506,189.193,189.455,2313,189.1889
RESISTANCE_223,2024-02-16 19,2024-02-16 19:00:00,189.46,189.501,189.281,189.378,2071,189.2134
RESISTANCE_224,2024-02-19 07,2024-02-19 07:00:00,189.328,189.367,189.236,189.258,2049,189.2294
RESISTANCE_224,2024-02-19 08,2024-02-19 08:00:00,189.257,189.379,189.142,189.18,2491,189.219
RESISTANCE_225,2024-02-19 10,2024-02-19 10:00:00,189.125,189.247,189.056,189.223,2021,189.2066
RESISTANCE_225,2024-02-19 11,2024-02-19 11:00:00,189.228,189.286,189.134,189.142,1956,189.204
