Datetimetry,Zone_ID,Datetime,Open,High,Low,Close,Volume,MA_10
2022-04-01 11,RESISTANCE_2,2022-04-01 11:00:00,160.924,161.043,160.734,160.91,5996,160.7415
2022-04-01 17,RESISTANCE_3,2022-04-01 17:00:00,160.987,161.123,160.809,161.003,7588,160.8704
2022-04-01 18,RESISTANCE_3,2022-04-01 18:00:00,161.008,161.088,160.672,160.751,5827,160.8719
2022-04-04 01,RESISTANCE_4,2022-04-04 01:00:00,160.591,160.826,160.568,160.717,2557,160.7245
2022-04-04 02,RESISTANCE_4,2022-04-04 02:00:00,160.724,160.748,160.609,160.697,1573,160.6949
2022-04-04 08,RESISTANCE_5,2022-04-04 08:00:00,160.81,161.059,160.762,161.03,3553,160.7548
2022-04-04 09,RESISTANCE_5,2022-04-04 09:00:00,161.029,161.165,160.967,160.988,4750,160.786
2022-04-04 16,RESISTANCE_6,2022-04-04 16:00:00,160.73,161.026,160.715,161.011,6227,160.8764
2022-04-04 17,RESISTANCE_6,2022-04-04 17:00:00,161.014,161.296,160.952,160.961,7151,160.8915
2022-04-04 21,RESISTANCE_7,2022-04-04 21:00:00,160.843,161.083,160.799,161.052,3341,160.8752
2022-04-04 22,RESISTANCE_7,2022-04-04 22:00:00,161.052,161.084,160.976,160.996,2708,160.8969
2022-04-05 02,RESISTANCE_8,2022-04-05 02:00:00,160.947,161.046,160.947,161.016,2058,160.9541
2022-04-05 03,RESISTANCE_8,2022-04-05 03:00:00,161.011,161.078,160.497,160.684,4748,160.9264
2022-04-05 10,RESISTANCE_9,2022-04-05 10:00:00,161.009,161.494,160.998,161.318,7095,160.8728
2022-04-05 11,RESISTANCE_9,2022-04-05 11:00:00,161.318,161.412,161.091,161.14,5618,160.893
2022-04-05 17,RESISTANCE_10,2022-04-05 17:00:00,161.659,161.961,161.524,161.896,10415,161.3352
2022-04-05 18,RESISTANCE_10,2022-04-05 18:00:00,161.894,161.904,161.575,161.758,6160,161.428
2022-04-06 05,RESISTANCE_11,2022-04-06 05:00:00,161.912,162.127,161.649,161.943,4915,161.7276
2022-04-06 06,RESISTANCE_11,2022-04-06 06:00:00,161.943,161.959,161.734,161.773,4425,161.7246
2022-04-06 12,RESISTANCE_12,2022-04-06 12:00:00,162.119,162.232,162.029,162.203,6141,161.9176
2022-04-06 13,RESISTANCE_12,2022-04-06 13:00:00,162.202,162.235,162.069,162.178,5008,161.9581
2022-04-06 15,RESISTANCE_13,2022-04-06 15:00:00,162.081,162.135,161.966,162.113,6293,161.992
2022-04-06 16,RESISTANCE_13,2022-04-06 16:00:00,162.113,162.268,161.968,162.012,6638,162.0159
2022-04-06 20,RESISTANCE_14,2022-04-06 20:00:00,161.806,161.91,161.781,161.855,3316,162.0177
2022-04-06 21,RESISTANCE_14,2022-04-06 21:00:00,161.846,161.997,161.626,161.75,11015,161.9807
2022-04-07 01,RESISTANCE_15,2022-04-07 01:00:00,161.709,161.981,161.641,161.837,1747,161.837
2022-04-07 02,RESISTANCE_15,2022-04-07 02:00:00,161.843,161.907,161.651,161.691,2520,161.8049
2022-04-07 09,RESISTANCE_16,2022-04-07 09:00:00,161.8,162.046,161.745,162.046,4620,161.78
2022-04-07 10,RESISTANCE_16,2022-04-07 10:00:00,162.033,162.26,161.953,161.999,5991,161.8068
2022-04-07 14,RESISTANCE_17,2022-04-07 14:00:00,161.844,162.227,161.832,162.13,6882,161.8804
2022-04-07 15,RESISTANCE_17,2022-04-07 15:00:00,162.127,162.22,162.008,162.039,4973,161.9046
2022-04-08 01,RESISTANCE_18,2022-04-08 01:00:00,162.049,162.349,162.029,162.235,1553,161.9584
2022-04-08 02,RESISTANCE_18,2022-04-08 02:00:00,162.235,162.289,162.169,162.171,2061,161.9782
2022-04-08 08,RESISTANCE_19,2022-04-08 08:00:00,161.913,162.066,161.891,162.017,3539,161.9905
2022-04-08 09,RESISTANCE_19,2022-04-08 09:00:00,162.015,162.117,161.794,161.802,4612,161.9738
2022-04-08 15,RESISTANCE_20,2022-04-08 15:00:00,161.802,162.006,161.719,161.995,5076,161.8813
2022-04-08 16,RESISTANCE_20,2022-04-08 16:00:00,161.994,162.116,161.712,161.748,7794,161.8577
2022-04-08 21,RESISTANCE_21,2022-04-08 21:00:00,162.073,162.151,162.025,162.143,2980,161.9298
2022-04-08 22,RESISTANCE_21,2022-04-08 22:00:00,162.142,162.164,162.041,162.056,2580,161.9518
2022-04-11 05,RESISTANCE_22,2022-04-11 05:00:00,162.462,162.677,162.399,162.489,5024,162.1448
2022-04-11 06,RESISTANCE_22,2022-04-11 06:00:00,162.489,162.592,162.459,162.493,3127,162.1867
2022-04-11 14,RESISTANCE_23,2022-04-11 14:00:00,163.667,163.779,163.511,163.779,4837,163.0704
2022-04-11 15,RESISTANCE_23,2022-04-11 15:00:00,163.778,163.835,163.569,163.677,5851,163.1892
2022-04-12 01,RESISTANCE_24,2022-04-12 01:00:00,163.349,163.47,163.325,163.443,1444,163.4727
2022-04-12 02,RESISTANCE_24,2022-04-12 02:00:00,163.445,163.539,163.347,163.406,2247,163.4602
2022-04-12 09,RESISTANCE_25,2022-04-12 09:00:00,163.43,163.621,163.282,163.567,5702,163.3669
2022-04-12 10,RESISTANCE_25,2022-04-12 10:00:00,163.568,163.571,163.246,163.35,6884,163.3658
2022-04-13 05,RESISTANCE_26,2022-04-13 05:00:00,163.323,163.425,163.297,163.398,4861,163.0695
2022-04-13 06,RESISTANCE_26,2022-04-13 06:00:00,163.395,163.397,163.229,163.304,3293,163.1023
2022-04-13 11,RESISTANCE_27,2022-04-13 11:00:00,163.827,164.066,163.782,163.921,7587,163.4426
2022-04-13 12,RESISTANCE_27,2022-04-13 12:00:00,163.921,164.047,163.889,164.006,5908,163.5377
2022-04-13 22,RESISTANCE_28,2022-04-13 22:00:00,164.652,164.766,164.595,164.74,2176,164.0877
2022-04-13 23,RESISTANCE_28,2022-04-13 23:00:00,164.739,164.844,164.584,164.654,1136,164.1668
2022-04-14 08,RESISTANCE_29,2022-04-14 08:00:00,164.568,164.74,164.509,164.685,3071,164.6071
2022-04-14 09,RESISTANCE_29,2022-04-14 09:00:00,164.686,164.78,164.614,164.63,4993,164.6047
2022-04-14 11,RESISTANCE_30,2022-04-14 11:00:00,164.563,164.722,164.545,164.682,5731,164.5752
2022-04-14 12,RESISTANCE_30,2022-04-14 12:00:00,164.683,164.764,164.605,164.651,4858,164.5961
2022-04-14 21,RESISTANCE_31,2022-04-14 21:00:00,164.704,164.763,164.669,164.735,1910,164.4501
2022-04-14 22,RESISTANCE_31,2022-04-14 22:00:00,164.734,164.768,164.642,164.663,1848,164.4513
2022-04-15 05,RESISTANCE_32,2022-04-15 05:00:00,165.03,165.232,164.924,165.186,2258,164.7567
2022-04-15 06,RESISTANCE_32,2022-04-15 06:00:00,165.187,165.187,164.987,165.017,3315,164.788
2022-04-15 09,RESISTANCE_33,2022-04-15 09:00:00,165.114,165.385,165.013,165.207,6687,164.9524
2022-04-15 10,RESISTANCE_33,2022-04-15 10:00:00,165.205,165.311,165.02,165.296,4408,165.0276
2022-04-15 15,RESISTANCE_34,2022-04-15 15:00:00,165.209,165.341,165.176,165.223,5497,165.1848
2022-04-15 16,RESISTANCE_34,2022-04-15 16:00:00,165.221,165.3,165.144,165.227,4132,165.2058
2022-04-18 01,RESISTANCE_35,2022-04-18 01:00:00,165.011,165.412,164.906,165.282,2631,165.0849
2022-04-18 02,RESISTANCE_35,2022-04-18 02:00:00,165.282,165.383,165.204,165.299,3328,165.0921
2022-04-18 14,RESISTANCE_36,2022-04-18 14:00:00,164.938,165.036,164.874,164.995,2905,164.9004
2022-04-18 15,RESISTANCE_36,2022-04-18 15:00:00,164.997,165.073,164.861,164.931,4803,164.8887
2022-04-18 20,RESISTANCE_37,2022-04-18 20:00:00,165.166,165.235,165.082,165.213,2905,164.9604
2022-04-18 21,RESISTANCE_37,2022-04-18 21:00:00,165.212,165.214,165.108,165.173,2637,164.9984
2022-04-19 11,RESISTANCE_38,2022-04-19 11:00:00,166.664,167.383,166.638,167.296,7218,166.2942
2022-04-19 12,RESISTANCE_38,2022-04-19 12:00:00,167.298,167.396,167.116,167.206,6072,166.4778
2022-04-19 22,RESISTANCE_39,2022-04-19 22:00:00,167.353,167.6,167.317,167.546,2907,167.2718
2022-04-19 23,RESISTANCE_39,2022-04-19 23:00:00,167.545,167.575,167.461,167.473,1461,167.2975
2022-04-20 03,RESISTANCE_40,2022-04-20 03:00:00,168.298,168.418,168.011,168.311,6546,167.685
2022-04-20 04,RESISTANCE_40,2022-04-20 04:00:00,168.311,168.401,167.876,168.061,9369,167.7689
2022-04-20 15,RESISTANCE_41,2022-04-20 15:00:00,166.895,167.254,166.834,167.233,7046,167.2579
2022-04-20 16,RESISTANCE_41,2022-04-20 16:00:00,167.233,167.233,166.879,166.927,8989,167.2132
2022-04-20 19,RESISTANCE_42,2022-04-20 19:00:00,166.771,166.915,166.642,166.892,3162,166.9561
2022-04-20 20,RESISTANCE_42,2022-04-20 20:00:00,166.899,166.944,166.681,166.781,3797,166.9072
2022-04-21 05,RESISTANCE_43,2022-04-21 05:00:00,167.597,167.785,167.52,167.781,3745,167.1775
2022-04-21 06,RESISTANCE_43,2022-04-21 06:00:00,167.78,167.799,167.34,167.374,3998,167.2368
2022-04-21 10,RESISTANCE_44,2022-04-21 10:00:00,167.427,167.507,167.082,167.37,7690,167.4183
2022-04-21 11,RESISTANCE_44,2022-04-21 11:00:00,167.37,167.513,167.202,167.24,6024,167.4142
2022-04-21 18,RESISTANCE_45,2022-04-21 18:00:00,167.467,167.899,167.351,167.726,6413,167.3848
2022-04-21 19,RESISTANCE_45,2022-04-21 19:00:00,167.725,167.771,167.554,167.621,3977,167.4041
2022-04-22 04,RESISTANCE_46,2022-04-22 04:00:00,167.495,167.579,167.367,167.554,5748,167.3018
2022-04-22 05,RESISTANCE_46,2022-04-22 05:00:00,167.553,167.553,167.381,167.46,3569,167.2857
2022-04-22 13,RESISTANCE_47,2022-04-22 13:00:00,165.25,165.811,165.239,165.805,4965,166.3276
2022-04-22 14,RESISTANCE_47,2022-04-22 14:00:00,165.804,165.822,165.424,165.495,4446,166.1217
2022-04-22 18,RESISTANCE_48,2022-04-22 18:00:00,164.859,165.801,164.845,165.439,9555,165.397
2022-04-22 19,RESISTANCE_48,2022-04-22 19:00:00,165.439,165.505,165.326,165.438,4234,165.3567
2022-04-25 01,RESISTANCE_49,2022-04-25 01:00:00,164.915,165.309,164.915,165.157,3464,165.0815
2022-04-25 02,RESISTANCE_49,2022-04-25 02:00:00,165.156,165.205,164.955,164.974,2892,165.0502
2022-04-25 07,RESISTANCE_50,2022-04-25 07:00:00,164.364,164.513,164.24,164.494,3351,164.7648
2022-04-25 08,RESISTANCE_50,2022-04-25 08:00:00,164.493,164.67,164.421,164.431,4061,164.7199
2022-04-25 14,RESISTANCE_51,2022-04-25 14:00:00,162.879,163.738,162.879,163.398,7802,163.6793
2022-04-25 15,RESISTANCE_51,2022-04-25 15:00:00,163.398,163.418,163.15,163.228,9141,163.5753
2022-04-26 00,RESISTANCE_52,2022-04-26 00:00:00,163.234,163.329,162.986,163.251,1458,162.8346
2022-04-26 01,RESISTANCE_52,2022-04-26 01:00:00,163.256,163.364,162.947,163.045,3287,162.8163
2022-04-26 07,RESISTANCE_53,2022-04-26 07:00:00,163.425,163.588,163.37,163.463,3370,163.0503
2022-04-26 08,RESISTANCE_53,2022-04-26 08:00:00,163.461,163.529,163.154,163.224,3791,163.064
2022-04-27 09,RESISTANCE_54,2022-04-27 09:00:00,160.806,161.175,160.761,160.837,9203,160.4257
2022-04-27 10,RESISTANCE_54,2022-04-27 10:00:00,160.835,160.952,160.191,160.879,9128,160.5256
2022-04-27 13,RESISTANCE_55,2022-04-27 13:00:00,161.001,161.164,160.752,161.005,5562,160.7318
2022-04-27 14,RESISTANCE_55,2022-04-27 14:00:00,161.012,161.235,160.824,160.886,6390,160.7815
2022-04-27 19,RESISTANCE_56,2022-04-27 19:00:00,161.091,161.379,161.076,161.169,5252,160.8339
2022-04-27 20,RESISTANCE_56,2022-04-27 20:00:00,161.172,161.238,160.994,161.02,5109,160.848
2022-04-28 11,RESISTANCE_57,2022-04-28 11:00:00,163.963,164.23,163.8,164.12,8117,162.455
2022-04-28 12,RESISTANCE_57,2022-04-28 12:00:00,164.118,164.244,163.075,163.379,8779,162.6878
2022-04-28 19,RESISTANCE_58,2022-04-28 19:00:00,162.853,163.273,162.822,163.215,5403,163.1042
2022-04-28 20,RESISTANCE_58,2022-04-28 20:00:00,163.213,163.438,163.193,163.208,4223,163.0287
2022-04-29 02,RESISTANCE_59,2022-04-29 02:00:00,163.091,163.093,162.96,163.01,1473,163.0566
2022-04-29 03,RESISTANCE_59,2022-04-29 03:00:00,163.012,163.244,162.93,163.011,3400,163.0621
2022-04-29 12,RESISTANCE_60,2022-04-29 12:00:00,163.304,163.979,163.304,163.661,6929,163.2041
2022-04-29 13,RESISTANCE_60,2022-04-29 13:00:00,163.66,163.763,163.464,163.503,6209,163.2533
2022-04-29 16,RESISTANCE_61,2022-04-29 16:00:00,163.195,163.57,163.141,163.27,9233,163.2978
2022-04-29 17,RESISTANCE_61,2022-04-29 17:00:00,163.268,163.417,162.564,162.757,9989,163.2656
2022-04-29 20,RESISTANCE_62,2022-04-29 20:00:00,163.094,163.35,163.023,163.227,4568,163.2332
2022-04-29 21,RESISTANCE_62,2022-04-29 21:00:00,163.226,163.233,162.941,163.071,4535,163.21
2022-05-02 01,RESISTANCE_63,2022-05-02 01:00:00,163.349,163.885,163.288,163.694,3983,163.1981
2022-05-02 02,RESISTANCE_63,2022-05-02 02:00:00,163.698,163.712,163.315,163.403,4267,163.2114
2022-05-02 09,RESISTANCE_64,2022-05-02 09:00:00,163.549,163.75,163.532,163.657,5823,163.5284
2022-05-02 10,RESISTANCE_64,2022-05-02 10:00:00,163.661,163.819,163.498,163.582,7299,163.5509
2022-05-03 10,RESISTANCE_65,2022-05-03 10:00:00,162.823,163.321,162.823,163.213,7932,162.7895
2022-05-03 11,RESISTANCE_65,2022-05-03 11:00:00,163.218,163.408,163.049,163.163,5538,162.8442
2022-05-03 15,RESISTANCE_66,2022-05-03 15:00:00,162.796,163.198,162.721,163.086,7113,162.9119
2022-05-03 16,RESISTANCE_66,2022-05-03 16:00:00,163.084,163.111,162.72,162.81,8591,162.905
2022-05-03 20,RESISTANCE_67,2022-05-03 20:00:00,162.545,162.79,162.539,162.575,3893,162.7707
2022-05-03 21,RESISTANCE_67,2022-05-03 21:00:00,162.573,162.62,162.344,162.594,3375,162.7138
2022-05-03 22,RESISTANCE_68,2022-05-03 22:00:00,162.596,162.62,162.468,162.594,4226,162.6783
2022-05-03 23,RESISTANCE_68,2022-05-03 23:00:00,162.593,162.646,162.552,162.584,1947,162.6845
2022-05-04 03,RESISTANCE_69,2022-05-04 03:00:00,162.622,162.71,162.54,162.623,2121,162.6017
2022-05-04 04,RESISTANCE_69,2022-05-04 04:00:00,162.623,162.638,162.507,162.542,2290,162.5851
2022-05-04 10,RESISTANCE_70,2022-05-04 10:00:00,162.505,162.809,162.47,162.779,5207,162.5435
2022-05-04 11,RESISTANCE_70,2022-05-04 11:00:00,162.779,162.858,162.622,162.747,4046,162.5572
2022-05-04 15,RESISTANCE_71,2022-05-04 15:00:00,162.551,162.766,162.443,162.722,5131,162.5913
2022-05-04 16,RESISTANCE_71,2022-05-04 16:00:00,162.721,162.8,162.358,162.368,6549,162.5839
2022-05-05 01,RESISTANCE_72,2022-05-05 01:00:00,163.115,163.568,163.062,163.29,3287,162.6007
2022-05-05 02,RESISTANCE_72,2022-05-05 02:00:00,163.289,163.317,162.945,163.039,2984,162.6678
2022-05-05 13,RESISTANCE_73,2022-05-05 13:00:00,162.979,163.012,162.66,162.723,4987,162.5841
2022-05-05 14,RESISTANCE_73,2022-05-05 14:00:00,162.719,163.162,160.884,161.11,11181,162.4233
2022-05-06 06,RESISTANCE_74,2022-05-06 06:00:00,161.438,161.573,161.29,161.537,3712,161.1291
2022-05-06 07,RESISTANCE_74,2022-05-06 07:00:00,161.536,161.595,161.378,161.472,2634,161.1741
2022-05-06 13,RESISTANCE_75,2022-05-06 13:00:00,161.05,161.251,160.811,161.174,5090,161.1527
2022-05-06 14,RESISTANCE_75,2022-05-06 14:00:00,161.175,161.289,160.825,160.878,5255,161.1008
2022-05-06 19,RESISTANCE_76,2022-05-06 19:00:00,160.913,161.194,160.854,161.16,6927,160.9478
2022-05-06 20,RESISTANCE_76,2022-05-06 20:00:00,161.159,161.239,161.041,161.048,5110,160.9826
2022-05-09 02,RESISTANCE_77,2022-05-09 02:00:00,161.222,161.258,161.096,161.132,3275,161.0819
2022-05-09 03,RESISTANCE_77,2022-05-09 03:00:00,161.133,161.4,160.916,160.974,5637,161.0735
2022-05-09 14,RESISTANCE_78,2022-05-09 14:00:00,161.798,162.074,161.677,162.01,6387,161.2085
2022-05-09 15,RESISTANCE_78,2022-05-09 15:00:00,162.011,162.176,161.84,161.949,9548,161.321
2022-05-09 19,RESISTANCE_79,2022-05-09 19:00:00,160.817,161.252,160.653,160.878,7281,161.2858
2022-05-09 20,RESISTANCE_79,2022-05-09 20:00:00,160.878,160.944,160.723,160.821,5428,161.247
2022-05-09 21,RESISTANCE_80,2022-05-09 21:00:00,160.821,160.976,160.703,160.826,5399,161.2326
2022-05-09 22,RESISTANCE_80,2022-05-09 22:00:00,160.831,160.976,160.546,160.555,5748,161.1323
2022-05-10 01,RESISTANCE_81,2022-05-10 01:00:00,160.67,160.974,160.602,160.853,3365,160.7673
2022-05-10 02,RESISTANCE_81,2022-05-10 02:00:00,160.848,160.945,160.676,160.826,3192,160.7451
2022-05-10 07,RESISTANCE_82,2022-05-10 07:00:00,161.074,161.363,161.016,161.317,3568,160.8267
2022-05-10 08,RESISTANCE_82,2022-05-10 08:00:00,161.317,161.507,161.159,161.16,4838,160.8872
2022-05-10 13,RESISTANCE_83,2022-05-10 13:00:00,160.253,160.789,160.16,160.635,5599,160.8556
2022-05-10 14,RESISTANCE_83,2022-05-10 14:00:00,160.632,160.734,160.309,160.474,6059,160.8194
2022-05-10 17,RESISTANCE_84,2022-05-10 17:00:00,160.304,160.593,160.23,160.325,10256,160.5319
2022-05-10 18,RESISTANCE_84,2022-05-10 18:00:00,160.324,160.499,160.173,160.321,9738,160.448
2022-05-10 20,RESISTANCE_85,2022-05-10 20:00:00,160.321,160.725,160.281,160.641,6146,160.3851
2022-05-10 21,RESISTANCE_85,2022-05-10 21:00:00,160.644,160.705,160.528,160.566,5411,160.3945
2022-05-11 05,RESISTANCE_86,2022-05-11 05:00:00,160.695,160.866,160.66,160.808,3371,160.592
2022-05-11 06,RESISTANCE_86,2022-05-11 06:00:00,160.807,160.87,160.655,160.775,2797,160.6054
2022-05-11 16,RESISTANCE_87,2022-05-11 16:00:00,160.649,161.299,160.488,161.296,14406,160.6427
2022-05-11 17,RESISTANCE_87,2022-05-11 17:00:00,161.296,161.298,160.637,160.722,12130,160.6375
2022-05-12 00,RESISTANCE_88,2022-05-12 00:00:00,159.276,159.276,158.893,159.161,3094,159.8215
2022-05-12 01,RESISTANCE_88,2022-05-12 01:00:00,159.157,159.28,158.969,159.085,2208,159.665
2022-05-12 13,RESISTANCE_89,2022-05-12 13:00:00,156.872,157.359,156.767,157.07,7025,157.8241
2022-05-12 14,RESISTANCE_89,2022-05-12 14:00:00,157.072,157.199,156.574,156.735,8309,157.604
2022-05-12 17,RESISTANCE_90,2022-05-12 17:00:00,156.153,156.803,155.815,156.645,12058,156.9761
2022-05-12 18,RESISTANCE_90,2022-05-12 18:00:00,156.645,157.021,156.216,156.221,9096,156.7872
2022-05-13 04,RESISTANCE_91,2022-05-13 04:00:00,157.247,157.923,157.192,157.459,7706,156.6857
2022-05-13 05,RESISTANCE_91,2022-05-13 05:00:00,157.458,157.736,157.351,157.373,5197,156.77
2022-05-13 10,RESISTANCE_92,2022-05-13 10:00:00,157.186,157.643,156.791,157.346,9758,157.3121
2022-05-13 11,RESISTANCE_92,2022-05-13 11:00:00,157.348,157.554,157.094,157.204,6475,157.3606
2022-05-13 14,RESISTANCE_93,2022-05-13 14:00:00,157.315,157.63,157.21,157.326,5339,157.3477
2022-05-13 15,RESISTANCE_93,2022-05-13 15:00:00,157.326,157.451,157.025,157.378,6501,157.3482
2022-05-13 19,RESISTANCE_94,2022-05-13 19:00:00,158.21,158.455,158.117,158.286,4371,157.5406
2022-05-13 20,RESISTANCE_94,2022-05-13 20:00:00,158.286,158.456,158.114,158.164,3895,157.6224
2022-05-16 03,RESISTANCE_95,2022-05-16 03:00:00,158.611,158.983,158.525,158.862,4661,158.4155
2022-05-16 04,RESISTANCE_95,2022-05-16 04:00:00,158.859,159.222,158.221,158.328,6341,158.4274
2022-05-16 14,RESISTANCE_96,2022-05-16 14:00:00,158.597,158.743,158.356,158.724,4903,158.0961
2022-05-16 15,RESISTANCE_96,2022-05-16 15:00:00,158.726,158.846,158.272,158.428,6901,158.1389
2022-05-16 21,RESISTANCE_97,2022-05-16 21:00:00,158.777,159.267,158.711,159.022,4224,158.4642
2022-05-16 22,RESISTANCE_97,2022-05-16 22:00:00,159.022,159.157,158.92,159.018,3994,158.552
2022-05-17 11,RESISTANCE_98,2022-05-17 11:00:00,160.747,161.591,160.701,161.393,6990,159.8306
2022-05-17 12,RESISTANCE_98,2022-05-17 12:00:00,161.394,161.465,160.926,161.001,6020,160.0377
2022-05-17 15,RESISTANCE_99,2022-05-17 15:00:00,161.425,161.84,161.341,161.817,7622,160.6581
2022-05-17 16,RESISTANCE_99,2022-05-17 16:00:00,161.815,161.825,161.449,161.664,7822,160.8707
2022-05-18 01,RESISTANCE_100,2022-05-18 01:00:00,161.537,161.692,161.515,161.643,1739,161.4571
2022-05-18 02,RESISTANCE_100,2022-05-18 02:00:00,161.643,161.777,161.581,161.602,2413,161.4509
2022-05-18 08,RESISTANCE_101,2022-05-18 08:00:00,160.999,161.428,160.999,161.318,3848,161.3512
2022-05-18 09,RESISTANCE_101,2022-05-18 09:00:00,161.339,161.358,160.593,160.771,5782,161.2751
2022-05-18 14,RESISTANCE_102,2022-05-18 14:00:00,160.128,160.363,160.102,160.329,3971,160.6132
2022-05-18 15,RESISTANCE_102,2022-05-18 15:00:00,160.328,160.521,159.993,160.074,6035,160.5073
2022-05-19 07,RESISTANCE_103,2022-05-19 07:00:00,159.431,159.802,159.387,159.565,4338,158.6395
2022-05-19 08,RESISTANCE_103,2022-05-19 08:00:00,159.564,159.65,158.981,159.008,4655,158.7143
2022-05-19 18,RESISTANCE_104,2022-05-19 18:00:00,159.104,159.905,159.003,159.567,9554,158.7439
2022-05-19 19,RESISTANCE_104,2022-05-19 19:00:00,159.566,159.804,159.277,159.468,7612,158.818
2022-05-20 04,RESISTANCE_105,2022-05-20 04:00:00,159.233,159.804,159.102,159.572,5673,159.4172
2022-05-20 05,RESISTANCE_105,2022-05-20 05:00:00,159.572,159.596,159.142,159.359,5338,159.4063
2022-05-20 11,RESISTANCE_106,2022-05-20 11:00:00,159.58,159.956,159.335,159.929,7058,159.3687
2022-05-20 12,RESISTANCE_106,2022-05-20 12:00:00,159.931,160.192,159.703,159.861,5897,159.4219
2022-05-20 16,RESISTANCE_107,2022-05-20 16:00:00,159.449,160.056,159.383,160.004,9767,159.6148
