Zone_ID,Datetime,Open,High,Low,Close,Volume,MA_10
S001,11/13/2023 12:00,185.854,185.861,185.688,185.813,1907,185.714
S001,11/13/2023 13:00,185.812,185.956,185.765,185.896,2225,185.7599
S002,11/13/2023 15:00,185.875,185.923,185.259,185.841,5088,185.8138
S002,11/13/2023 16:00,185.844,185.93,185.736,185.903,2294,185.834
S003,11/13/2023 22:00,186.272,186.273,186,186.093,1148,186.0208
S003,11/13/2023 23:00,186.09,186.169,186.085,186.137,1054,186.0449
S004,11/14/2023 5:00,186.112,186.152,186.079,186.126,1107,186.1599
S004,11/14/2023 6:00,186.125,186.235,186.109,186.208,1115,186.1681
S005,11/14/2023 11:00,186.436,186.477,186.26,186.329,1740,186.2903
S005,11/14/2023 12:00,186.331,186.543,186.331,186.469,1837,186.3182
S006,11/14/2023 20:00,187.923,187.944,187.744,187.794,1657,187.5729
S006,11/14/2023 21:00,187.795,187.944,187.792,187.913,1227,187.7313
S007,11/15/2023 9:00,187.565,187.616,187.358,187.43,2782,187.9489
S007,11/15/2023 10:00,187.429,187.574,187.358,187.494,2259,187.896
S008,11/15/2023 10:00,187.429,187.574,187.358,187.494,2259,187.896
S008,11/15/2023 11:00,187.495,187.508,187.376,187.415,1996,187.8407
S009,11/15/2023 13:00,187.407,187.668,187.189,187.599,4165,187.7131
S009,11/15/2023 14:00,187.595,187.857,187.546,187.565,3586,187.6633
S010,11/15/2023 22:00,187.76,187.828,187.448,187.79,982,187.7822
S010,11/15/2023 23:00,187.758,187.806,187.65,187.754,1146,187.7977
S011,11/16/2023 2:00,187.532,187.536,187.295,187.334,1823,187.7561
S011,11/16/2023 3:00,187.333,187.44,187.33,187.37,1192,187.7153
S012,11/16/2023 7:00,187.596,187.627,187.335,187.399,2108,187.5553
S012,11/16/2023 8:00,187.395,187.573,187.361,187.569,2623,187.5332
S013,11/16/2023 16:00,187.102,187.133,186.822,187.03,2953,187.3884
S013,11/16/2023 17:00,187.031,187.184,186.986,187.006,2186,187.3491
S014,11/16/2023 22:00,187.064,187.064,186.816,187.052,814,187.0903
S014,11/16/2023 23:00,187.009,187.079,186.89,187.079,1015,187.0559
S015,11/17/2023 2:00,186.962,186.969,186.618,186.715,1640,186.9842
S015,11/17/2023 3:00,186.714,186.877,186.691,186.786,1257,186.9622
S016,11/17/2023 9:00,185.456,185.733,185.312,185.663,3736,186.5625
S016,11/17/2023 10:00,185.662,185.803,185.521,185.557,3120,186.4206
S017,11/20/2023 4:00,185.894,186.012,185.757,185.975,2417,186.2504
S017,11/20/2023 5:00,185.976,186.12,185.963,186.049,2034,186.2407
S018,11/20/2023 11:00,184.978,184.997,184.618,184.82,2418,185.6518
S018,11/20/2023 12:00,184.816,185.08,184.791,184.974,2482,185.5482
S019,11/21/2023 4:00,184.784,184.895,184.576,184.741,2291,185.2732
S019,11/21/2023 5:00,184.74,185.159,184.72,185.106,2632,185.23
S020,11/21/2023 8:00,184.737,184.912,184.454,184.756,3855,185.0312
S020,11/21/2023 9:00,184.753,185.227,184.718,185.165,2978,184.9934
S021,11/21/2023 13:00,184.998,185.251,184.928,185.103,3181,184.9727
S021,11/21/2023 14:00,185.107,185.257,184.93,185.082,3156,185.0068
S022,11/21/2023 23:00,185.77,185.867,185.571,185.767,1769,185.6667
S022,11/22/2023 0:00,185.823,185.998,185.752,185.959,2594,185.7544
S023,11/22/2023 3:00,185.887,185.929,185.731,185.838,1552,185.8866
S023,11/22/2023 4:00,185.833,186.003,185.782,185.983,1281,185.9043
S024,11/22/2023 13:00,186.447,186.769,186.201,186.766,3937,186.5207
S024,11/22/2023 14:00,186.767,186.787,186.313,186.456,3555,186.568
S025,11/22/2023 21:00,186.915,186.92,186.583,186.643,1137,186.6717
S025,11/22/2023 22:00,186.603,186.819,186.603,186.771,1003,186.7038
S026,11/23/2023 2:00,186.408,186.454,186.279,186.451,1973,186.6742
S026,11/23/2023 3:00,186.452,186.58,186.441,186.477,1435,186.6515
S027,11/23/2023 6:00,186.398,186.481,186.334,186.451,1998,186.5203
S027,11/23/2023 7:00,186.452,186.701,186.429,186.682,2224,186.5242
S028,11/23/2023 22:00,187.28,187.331,186.973,187.03,729,187.3991
S028,11/23/2023 23:00,187.066,187.454,187.066,187.428,1659,187.4025
S029,11/24/2023 6:00,187.241,187.31,187.091,187.288,1709,187.3139
S029,11/24/2023 7:00,187.284,187.334,187.162,187.26,1882,187.3049
S030,11/27/2023 3:00,187.894,187.909,187.598,187.789,2386,188.2292
S030,11/27/2023 4:00,187.788,187.873,187.649,187.841,2035,188.1685
S031,11/27/2023 7:00,187.984,188.087,187.758,188.016,2905,188.0362
S031,11/27/2023 8:00,188.02,188.101,187.927,187.963,3072,187.9984
S032,11/27/2023 17:00,187.745,187.83,187.623,187.732,2004,187.948
S032,11/27/2023 18:00,187.731,187.81,187.655,187.752,2100,187.9269
S033,11/28/2023 2:00,187.239,187.331,187.042,187.108,2227,187.5253
S033,11/28/2023 3:00,187.111,187.314,187.087,187.213,1978,187.4734
S034,11/28/2023 12:00,187.511,187.527,187.275,187.369,2561,187.4133
S034,11/28/2023 13:00,187.364,187.608,187.311,187.553,3416,187.4473
S035,11/28/2023 16:00,187.528,187.544,187.126,187.374,4075,187.5306
S035,11/28/2023 17:00,187.378,187.41,187.229,187.275,2972,187.5292
S036,11/29/2023 1:00,186.675,186.88,186.623,186.823,3636,187.1054
S036,11/29/2023 2:00,186.819,187.039,186.714,187.012,2533,187.0692
S037,11/29/2023 5:00,187.003,187.082,186.782,187.051,2660,187.0186
S037,11/29/2023 6:00,187.053,187.178,186.966,187.096,3078,187.0093
S038,11/29/2023 16:00,187.129,187.168,186.68,186.979,3244,187.1979
S038,11/29/2023 17:00,186.978,187.057,186.937,186.974,2596,187.1866
S039,11/29/2023 23:00,186.624,186.704,186.384,186.649,2016,186.9509
S039,11/30/2023 0:00,186.686,186.801,186.492,186.689,2985,186.9035
S040,11/30/2023 9:00,186.38,186.605,186.221,186.465,3875,186.6538
S040,11/30/2023 10:00,186.459,186.654,186.459,186.573,3426,186.6422
S041,11/30/2023 13:00,186.636,186.758,186.486,186.695,4643,186.6272
S041,11/30/2023 14:00,186.7,187.317,186.689,187.295,5386,186.6814
S042,11/30/2023 17:00,186.872,187.043,186.767,187.027,2766,186.7728
S042,11/30/2023 18:00,187.025,187.097,186.973,187.08,2558,186.8423
S043,11/30/2023 22:00,187.027,187.051,186.711,187.044,1317,187.0353
S043,11/30/2023 23:00,187.034,187.044,186.834,186.934,2078,187.0592
S044,12/1/2023 1:00,186.822,186.968,186.673,186.891,3092,186.9902
S044,12/1/2023 2:00,186.893,187.156,186.861,187.153,2272,187.0185
S045,12/1/2023 9:00,187.147,187.3,187.035,187.295,3126,187.1424
S045,12/1/2023 10:00,187.294,187.306,187.083,187.172,2376,187.1779
S046,12/1/2023 15:00,186.855,186.882,186.181,186.492,5013,187.1429
S046,12/1/2023 16:00,186.493,186.681,186.293,186.39,5400,187.0521
S047,12/4/2023 0:00,186.041,186.088,185.511,185.715,4716,186.5236
S047,12/4/2023 1:00,185.718,185.942,185.697,185.884,3606,186.397
S048,12/4/2023 10:00,185.824,185.858,185.514,185.639,2770,185.9525
S048,12/4/2023 11:00,185.641,185.918,185.606,185.854,2526,185.9495
S049,12/4/2023 15:00,185.4,185.522,185.068,185.488,4066,185.7719
S049,12/4/2023 16:00,185.493,185.896,185.439,185.842,3246,185.7546
