Datetimetry,Zone_ID,Datetime,Open,High,Low,Close,Volume,MA_10
2022-4-01 09,SUPPORT_1,2022-4-01 09,160.731,160.757,160.464,160.712,5204,160.5474
2022-4-01 10,SUPPORT_1,4/1/2022 10:00,160.709,160.955,160.59,160.924,6646,160.6555
2022-4-01 20,SUPPORT_2,4/1/2022 20:00,160.617,160.626,160.378,160.507,3594,160.8207
2022-4-01 21,SUPPORT_2,4/1/2022 21:00,160.506,160.746,160.491,160.698,2801,160.7995
2022-4-01 23,SUPPORT_3,4/1/2022 23:00,160.679,160.718,160.572,160.676,1118,160.7719
2022-4-04 00,SUPPORT_3,4/4/2022 0:00,160.546,160.713,160.501,160.598,230,160.7535
2022-4-04 03,SUPPORT_4,4/4/2022 3:00,160.695,160.707,160.276,160.489,6534,160.6435
2022-4-04 04,SUPPORT_4,4/4/2022 4:00,160.491,160.748,160.467,160.722,6596,160.6406
2022-4-04 07,SUPPORT_5,4/4/2022 7:00,160.968,161.014,160.766,160.81,3025,160.7203
2022-4-04 08,SUPPORT_5,4/4/2022 8:00,160.81,161.059,160.762,161.03,3553,160.7548
2022-4-04 11,SUPPORT_6,4/4/2022 11:00,161.006,161.009,160.736,160.817,5769,160.8367
2022-4-04 12,SUPPORT_6,4/4/2022 12:00,160.814,160.908,160.762,160.779,4573,160.8449
2022-4-04 15,SUPPORT_7,4/4/2022 15:00,160.797,161.057,160.713,160.73,5219,160.8719
2022-4-04 16,SUPPORT_7,4/4/2022 16:00,160.73,161.026,160.715,161.011,6227,160.8764
2022-4-04 19,SUPPORT_8,4/4/2022 19:00,160.948,160.975,160.818,160.832,4336,160.8679
2022-4-04 20,SUPPORT_8,4/4/2022 20:00,160.832,160.862,160.738,160.843,3593,160.8517
2022-4-04 23,SUPPORT_9,4/4/2022 23:00,160.992,161.013,160.92,160.94,1230,160.9109
2022-4-05 00,SUPPORT_9,4/5/2022 0:00,160.969,161.046,160.919,161.013,170,160.9328
2022-4-05 03,SUPPORT_10,4/5/2022 3:00,161.011,161.078,160.497,160.684,4748,160.9264
2022-4-05 04,SUPPORT_10,4/5/2022 4:00,160.684,160.838,160.601,160.741,4097,160.9055
2022-4-05 06,SUPPORT_11,4/5/2022 6:00,160.751,160.755,160.637,160.66,2525,160.8792
2022-4-05 07,SUPPORT_11,4/5/2022 7:00,160.66,160.894,160.597,160.776,3955,160.8516
2022-4-05 15,SUPPORT_12,4/5/2022 15:00,161.452,161.489,161.217,161.347,5062,161.1237
2022-4-05 16,SUPPORT_12,4/5/2022 16:00,161.351,161.758,161.256,161.655,6014,161.2232
2022-4-06 00,SUPPORT_13,4/6/2022 0:00,161.594,161.725,161.438,161.567,853,161.6659
2022-4-06 01,SUPPORT_13,4/6/2022 1:00,161.57,161.727,161.511,161.649,1392,161.6961
2022-4-06 09,SUPPORT_14,4/6/2022 9:00,161.878,161.931,161.73,161.829,5549,161.7907
2022-4-06 10,SUPPORT_14,4/6/2022 10:00,161.826,162.016,161.673,161.861,7377,161.8201
2022-4-06 14,SUPPORT_15,4/6/2022 14:00,162.178,162.18,161.912,162.081,5740,161.975
2022-4-06 15,SUPPORT_15,4/6/2022 15:00,162.081,162.135,161.966,162.113,6293,161.992
2022-4-06 18,SUPPORT_16,4/6/2022 18:00,161.985,162.028,161.704,161.823,6645,162.0204
2022-4-06 19,SUPPORT_16,4/6/2022 19:00,161.825,161.911,161.774,161.808,3844,162.0183
2022-4-06 21,SUPPORT_17,4/6/2022 21:00,161.846,161.997,161.626,161.75,11015,161.9807
2022-4-06 22,SUPPORT_17,4/6/2022 22:00,161.751,161.865,161.716,161.827,6033,161.9431
2022-4-06 23,SUPPORT_18,4/6/2022 23:00,161.828,161.853,161.727,161.743,1338,161.8996
2022-4-07 00,SUPPORT_18,4/7/2022 0:00,161.706,161.78,161.599,161.731,748,161.8646
2022-4-07 03,SUPPORT_19,4/7/2022 3:00,161.691,161.739,161.389,161.62,5787,161.7685
2022-4-07 04,SUPPORT_19,4/7/2022 4:00,161.619,161.761,161.589,161.702,5700,161.7564
2022-4-07 06,SUPPORT_20,4/7/2022 6:00,161.797,161.851,161.726,161.778,3135,161.7476
2022-4-07 07,SUPPORT_20,4/7/2022 7:00,161.78,161.83,161.649,161.798,2545,161.7524
2022-4-07 11,SUPPORT_21,4/7/2022 11:00,161.998,162.012,161.683,161.753,5102,161.7984
2022-4-07 12,SUPPORT_21,4/7/2022 12:00,161.753,161.916,161.607,161.859,4616,161.8152
2022-4-07 18,SUPPORT_22,4/7/2022 18:00,161.889,161.991,161.628,161.665,5659,161.9199
2022-4-07 19,SUPPORT_22,4/7/2022 19:00,161.664,161.811,161.651,161.753,3090,161.8906
2022-4-07 23,SUPPORT_23,4/7/2022 23:00,162.037,162.124,161.962,161.969,1334,161.9482
2022-4-08 00,SUPPORT_23,4/8/2022 0:00,161.981,162.168,161.958,162.036,1260,161.9388
2022-4-08 03,SUPPORT_24,4/8/2022 3:00,162.169,162.236,161.727,161.794,6260,161.9685
2022-4-08 04,SUPPORT_24,4/8/2022 4:00,161.794,161.874,161.642,161.845,4789,161.9865
2022-4-08 10,SUPPORT_25,4/8/2022 10:00,161.801,161.891,161.635,161.758,5252,161.946
2022-4-08 11,SUPPORT_25,4/8/2022 11:00,161.756,161.968,161.743,161.863,4278,161.9088
2022-4-08 16,SUPPORT_26,4/8/2022 16:00,161.994,162.116,161.712,161.748,7794,161.8577
2022-4-08 17,SUPPORT_26,4/8/2022 17:00,161.747,162.015,161.713,161.792,7267,161.8455
2022-4-08 23,SUPPORT_27,4/8/2022 23:00,162.061,162.09,161.95,161.995,1026,161.9674
2022-4-11 00,SUPPORT_27,4/11/2022 0:00,161.634,161.847,161.607,161.804,415,161.9673
2022-4-11 16,SUPPORT_28,4/11/2022 16:00,163.672,163.707,163.312,163.531,6902,163.293
2022-4-11 17,SUPPORT_28,4/11/2022 17:00,163.529,163.733,163.469,163.673,7375,163.4009
2022-4-11 22,SUPPORT_29,4/11/2022 22:00,163.494,163.515,163.292,163.305,1965,163.5738
2022-4-11 23,SUPPORT_29,4/11/2022 23:00,163.301,163.356,163.251,163.305,1056,163.5379
